Chip:
Project,Product,Customer,Value,
CTRL,NX1,Broadcom,5753_A2,
CTRL,NX1,Broadcom,5753_A4,
CTRL,NX1,Broadcom,5753_B1,
CTRL,NX1,Broadcom,5753_B3,
CTRL,NX1,Broadcom,5753_C0,
CTRL,NX1,Broadcom,5753_C1,
CTRL,NX1,Broadcom,5754,
CTRL,NX1,Broadcom,5754M_A2,
CTRL,NX1,Broadcom,5754_A0,
CTRL,NX1,Broadcom,5754_A1,
CTRL,NX1,Broadcom,5754_A2,
CTRL,NX1,Broadcom,5755,
CTRL,NX1,Broadcom,5755M,
CTRL,NX1,Broadcom,5755M_A0,
CTRL,NX1,Broadcom,5755M_A1,
CTRL,NX1,Broadcom,5755M_A2,
CTRL,NX1,Broadcom,5755_A0,
CTRL,NX1,Broadcom,5755_A1,
CTRL,NX1,Broadcom,5755_A2,
CTRL,NX1,Broadcom,5756ME,
CTRL,NX1,Broadcom,5756ME_A0,
CTRL,NX1,Broadcom,5756ME_A1,
CTRL,NX1,Broadcom,5756ME_A2,
CTRL,NX1,Broadcom,5756ME_B0,
CTRL,NX1,Broadcom,5760,
CTRL,NX1,Broadcom,5760_A0,
CTRL,NX1,Broadcom,5760_A1,
CTRL,NX1,Broadcom,5760_B0,
CTRL,NX1,Broadcom,5761,
CTRL,NX1,Broadcom,5761E_A0,
CTRL,NX1,Broadcom,5761E_A2,
CTRL,NX1,Broadcom,5761E_B0,
CTRL,NX1,Broadcom,5761M,
CTRL,NX1,Broadcom,5761M_A0,
CTRL,NX1,Broadcom,5761M_A2,
CTRL,NX1,Broadcom,5761M_B0,
CTRL,NX1,Broadcom,5761M_B1,
CTRL,NX1,Broadcom,5761S_B0,
CTRL,NX1,Broadcom,5761_A0,
CTRL,NX1,Broadcom,5761_A1,
CTRL,NX1,Broadcom,5761_A2,
CTRL,NX1,Broadcom,5761_B0,
CTRL,NX1,Broadcom,5761_B1,
CTRL,NX1,Broadcom,5761_B2,
CTRL,NX1,Broadcom,5762,
CTRL,NX1,Broadcom,5762_A0,
CTRL,NX1,Broadcom,5762_A1,
CTRL,NX1,Broadcom,5762_B0,
CTRL,NX1,Broadcom,5764M,
CTRL,NX1,Broadcom,5764M_A0,
CTRL,NX1,Broadcom,5764M_A1,
CTRL,NX1,Broadcom,5764M_B0,
CTRL,NX1,Broadcom,5764M_B1,
CTRL,NX1,Broadcom,57760,
CTRL,NX1,Broadcom,57760_A0,
CTRL,NX1,Broadcom,57760_A1,
CTRL,NX1,Broadcom,57760_A2,
CTRL,NX1,Broadcom,57760_B0,
CTRL,NX1,Broadcom,57761_A0,
CTRL,NX1,Broadcom,57761_B0,
CTRL,NX1,Broadcom,57762,
CTRL,NX1,Broadcom,57762_A0,
CTRL,NX1,Broadcom,57762_A1,
CTRL,NX1,Broadcom,57762_B0,
CTRL,NX1,Broadcom,57762_C0,
CTRL,NX1,Broadcom,57765,
CTRL,NX1,Broadcom,57765_A0,
CTRL,NX1,Broadcom,57765_A1,
CTRL,NX1,Broadcom,57765_B0,
CTRL,NX1,Broadcom,57765_E0,
CTRL,NX1,Broadcom,57766_A0,
